Store Code,POD code,Bills,Amount,Ave Bill
HF,Others,1644,237240,144.31
YT,Others,1728,252500,146.12
KF,Others,2494,369830,148.29
TB,Others,1625,249180,153.34
DN,A-00,1,154,154
TS,D-11,1,154,154
LC,Others,2160,342268,158.46
ST,Others,2126,360915,169.76
PF,Others,674,115544,171.43
SS,Others,2149,371796,173.01
TN,X-99,80,14173,177.16
HS,Others,1332,238075,178.73
ZK,X-99,426,77194,181.21
LI,X-99,186,34657,186.33
XU,99,1,189,189
ZS,Others,686,136284,198.66
TE,Others,803,160998,200.5
JI,X-99,48,9679,201.65
LU,X-99,86,17537,203.92
WJ,X-97,1,205,205
HH,Others,2337,498761,213.42
WL,X-99,58,12454,214.72
MS,Others,1550,340960,219.97
SU,G-03,1,228,228
NS,X-99,291,66934,230.01
PD,Others,1189,273963,230.41
NZ,X-99,99,22887,231.18
JK,Others,1163,272505,234.31
FW,Others,756,178507,236.12
KW,X-99,161,38097,236.63
GH,Others,1226,294458,240.18
RZ,Others,1301,312771,240.41
DM,X-99,150,36787,245.25
PD,X-99,13,3200,246.15
CP,X-99,215,52923,246.15
DC,Others,1127,278127,246.79
LM,Others,2667,662238,248.31
HH,X-99,17,4269,251.12
TH,Others,1549,390468,252.08
SL,K-05,1,253,253
UL,F-05,4,1023,255.75
SQ,Others,173,44724,258.52
TS,Others,830,217478,262.02
MZ,Others,401,105954,264.22
UH,Others,1715,457858,266.97
NC,X-99,8,2138,267.25
PJ,B-01,4,1078,269.5
LF,Others,717,195423,272.56
CZ,Others,717,197099,274.89
CF,X-99,48,13323,277.56
HD,E-06,50,14040,280.8
YN,Others,598,168502,281.78
YD,Others,526,151010,287.09
FW,J-03,18,5228,290.44
LW,X-99,412,120080,291.46
KT,C-08,2,588,294
YK,Others,818,242229,296.12
NL,Others,914,273713,299.47
YH,Others,543,162667,299.57
YJ,Others,575,173565,301.85
MJ,E-08,1,303,303
HT,G9,1,303,303
UM,Others,633,192055,303.4
LF,99,3,912,304
JU,Others,1640,504238,307.46
DS,Q-01,1,308,308
KW,G-09,1,309,309
JU,319,1,317,317
CK,G-03,1,317,317
JK,A,1,318,318
SW,99,1,319,319
KW,B-01,2,642,321
DX,99,2,644,322
SN,Others,744,243286,327
LS,Others,647,211657,327.14
TW,G-05,1,328,328
TF,Others,1052,345615,328.53
DR,Others,445,146692,329.64
SC,X-99,435,143398,329.65
CQ,Others,1015,338341,333.34
IL,F-03,2,667,333.5
SH,99,1,334,334
AK,X-99,3,1002,334
BK,D-03,6,2010,335
TF,37,1,336,336
SC,C-05,1,337,337
CT,K-04,2,674,337
JP,Others,453,153103,337.98
DY,4,1,338,338
LH,99,1,338,338
ET,99,1,339,339
PW,K-05,1,339,339
JI,Others,786,268338,341.4
DY,I-01,2,689,344.5
DL,Others,657,226773,345.16
CC,Others,697,241283,346.17
TK,Others,916,318467,347.67
KW,Others,834,290919,348.82
PM,C-07,1,349,349
PW,X-98,1,350,350
NA,X-99,100,35178,351.78
WT,Others,505,180037,356.51
NY,Others,749,268291,358.2
NJ,X-99,49,17587,358.92
JL,Others,426,153342,359.96
JA,X-99,1,360,360
TY,A-01,3,1086,362
WJ,X-99,11,3992,362.91
HF,X-99,5292,1923015,363.38
TF,G-9,18,6571,365.06
CL,Others,994,363040,365.23
JW,Others,813,297936,366.46
TS,E-07,6,2205,367.5
KZ,C-04,1,368,368
JS,Others,798,294186,368.65
ZK,Others,1811,672707,371.46
NC,2,3,1116,372
SM,Others,552,206297,373.73
AP,Others,796,298898,375.5
WQ,H-08,41,15494,377.9
PD,F-09,1,378,378
HT,Others,1176,446776,379.91
TC,C-30,11,4197,381.55
TY,Others,697,266160,381.87
JH,Others,496,190483,384.04
CM,99,2,770,385
RL,X-99,151,58586,387.99
MT,Others,618,240715,389.51
CK,X-98,6,2360,393.33
CP,99,1,394,394
MJ,Others,892,353072,395.82
GS,X-99,51,20215,396.37
CR,Others,1615,641023,396.92
WL,Others,679,269629,397.1
NJ,99,1,398,398
PT,F-04,1,398,398
SM,H4,1,398,398
PZ,99,1,399,399
YS,C-07,1,399,399
KG,Others,523,208951,399.52
TC,Others,602,240788,399.98
HD,X-98,1,400,400
UM,F-03,12,4803,400.25
PT,F-03,2,805,402.5
NQ,Others,591,237945,402.61
PH,99,2,808,404
NC,J-09,6,2426,404.33
LU,Others,626,255144,407.58
UC,A-07,1,408,408
YD,X-99,3,1228,409.33
ML,G-01,25,10268,410.72
FY,4,3,1234,411.33
HD,E-05,19,7849,413.11
HD,F-05,12,4960,413.33
ML,B-01,2,827,413.5
SM,D4,8,3308,413.5
KC,Others,1203,498150,414.09
SH,Others,789,326963,414.4
FH,Others,434,180971,416.98
JG,Others,418,174529,417.53
CP,E-08,1,418,418
NC,H-09,1,418,418
SL,Others,396,166066,419.36
XS,H-06,7,2940,420
DT,G-05,5,2102,420.4
CJ,Others,575,241817,420.55
BD,99,1,421,421
XS,Others,431,181474,421.05
UM,99,1,422,422
TT,C-07,1,424,424
KT,Others,657,279280,425.08
DK,X-99,84,35790,426.07
NA,Others,824,351743,426.87
CG,Others,580,247804,427.25
MJ,K-08,6,2564,427.33
PS,X-99,99,42365,427.93
HZ,B-04,1,428,428
NC,J-10,1,428,428
TW,99,2,856,428
FS,I-08,1,429,429
PC,F-06,36,15452,429.22
CM,G-08,86,37014,430.4
TP,F-04,4,1725,431.25
CC,K-01,6,2588,431.33
GS,Others,700,303433,433.48
PC,J-07,4,1744,436
SL,E-09,72,31500,437.5
AN,3,1,438,438
TA,E-09,1,438,438
XT,B-04,28,12352,441.14
JB,Others,879,388830,442.35
MQ,99,4,1770,442.5
ZY,99,2,891,445.5
CT,4,3,1340,446.67
KZ,E4,1,448,448
SU,I-04,1,448,448
MQ,Others,973,436835,448.96
HD,G-04,10,4499,449.9
LC,G-07,6,2705,450.83
NC,H-08,6,2708,451.33
TN,99,3,1363,454.33
NS,E-09,63,28628,454.41
PG,G-03,1,457,457
WG,X-99,2,915,457.5
NS,B-05,15,6868,457.87
RL,7,2,916,458
DA,A-03,8,3670,458.75
SD,Others,437,200598,459.03
DK,Others,495,229288,463.21
CZ,99,3,1392,464
LW,Others,572,265438,464.05
TA,H-10,6,2788,464.67
MA,E-11,64,29743,464.73
NC,I-14,98,45598,465.29
KS,99,1,467,467
DM,C-02,18,8408,467.11
NL,99,2,935,467.5
TS,7,1,468,468
TA,D-10,1,468,468
CM,Others,1066,501749,470.68
YS,Others,527,248346,471.24
CT,J-04,5,2371,474.2
NC,I-12,29,13776,475.03
PL,F-07,44,20998,477.23
YP,X-98,12,5736,478
AE,X-99,2,961,480.5
TA,F-06,2,963,481.5
BK,99,2,966,483
DK,E-06,6,2902,483.67
UC,J06,3,1452,484
HM,D-05,11,5334,484.91
SP,Others,628,304705,485.2
TY,3,1,486,486
TC,X-98,14,6811,486.5
KW,D-03,17,8287,487.47
DA,X-99,93,45336,487.48
NJ,H-07,170,83215,489.5
NC,I-11,4,1963,490.75
SH,B-02,16,7883,492.69
BT,Others,947,466777,492.9
TH,D-06,52,25669,493.63
QX,E-07,30,14840,494.67
IL,C-11,1,496,496
JW,X-98,72,35744,496.44
TY,E-02,2,993,496.5
AK,2,2,997,498.5
PW,D-09,6,2995,499.17
JP,B-02,429,214663,500.38
JR,2,10,5005,500.5
OL,E-03,61,30554,500.89
YW,2,7,3512,501.71
MJ,G-06,20,10035,501.75
PC,H-06,68,34184,502.71
PU,B-05,14,7061,504.36
NJ,I-02,224,113124,505.02
LY,D-07,37,18739,506.46
SC,D-05,125,63335,506.68
DA,B-06,7,3551,507.29
FA,C-04,59,29933,507.34
TA,X-98,2,1015,507.5
AH,G-04,9,4596,510.67
DS,E-05,461,235982,511.89
HN,99,1,512,512
NC,H-14,7,3588,512.57
TL,I-07,3,1540,513.33
PE,Others,564,289586,513.45
DA,Others,3300,1694422,513.46
LY,G-07,3,1543,514.33
UG,X-99,129,66391,514.66
SA,J-03,1,515,515
ST,99,4,2064,516
RM,X-98,2,1033,516.5
GS,L-05,114,59009,517.62
FD,Others,1103,570946,517.63
FY,Others,442,228854,517.77
YH,2,27,14015,519.07
SC,D-03,61,31678,519.31
JR,Others,1044,543781,520.86
UG,Others,757,394791,521.52
NY,99,2,1046,523
PE,F-05,82,42888,523.02
IL,C-09,3,1571,523.67
DS,2,6,3146,524.33
JW,G-06,131,68689,524.34
NC,H-12,5,2623,524.6
DJ,2,8,4199,524.88
PG,F-05,209,109951,526.08
TY,D-07,2,1053,526.5
TA,B-04,52,27418,527.27
PE,G-06,80,42227,527.84
KC,2,7,3695,527.86
YW,Others,732,386393,527.86
TN,Others,528,278729,527.9
SM,C5,1,528,528
DD,C-05,1007,531850,528.15
DO,F-04,200,105656,528.28
JH,D-03,21,11094,528.29
ML,X-99,29,15321,528.31
SL,D-04,156,82425,528.37
PS,H-11,27,14277,528.78
TN,D-08,7,3706,529.43
ZU,D-03,23,12179,529.52
DS,E-06,22,11651,529.59
DU,C-02,36,19122,531.17
RS,X-99,18,9568,531.56
CT,F-03,1,532,532
HT,H-08,47,25033,532.62
CT,D-04,1,533,533
CP,E-09,1,533,533
CG,G-07,3,1602,534
YS,I-07,3,1602,534
DU,E-02,19,10151,534.26
SW,C-04,34,18193,535.09
FH,C-07,458,245076,535.1
KW,I-08,322,172346,535.24
HH,2,5,2682,536.4
YN,X-99,23,12346,536.78
PC,I-08,23,12350,536.96
CU,E-08,118,63420,537.46
DN,Others,794,426781,537.51
CC,G-03,93,49990,537.53
DS,X-98,1857,998883,537.9
QX,X-98,19,10241,539
FA,D-05,187,100873,539.43
TY,X-98,79,42657,539.96
JG,X-98,24,12965,540.21
HJ,Others,983,531089,540.27
HJ,J-05,1609,869592,540.45
XS,99,2,1081,540.5
AK,X-98,49,26486,540.53
WF,E-06,191,103286,540.76
HG,D02,12,6501,541.75
HJ,I-06,96,52077,542.47
RM,I-09,40,21714,542.85
SA,E-11,2,1086,543
CA,C4,17,9235,543.24
TL,G-08,134,72808,543.34
SZ,2,9,4892,543.56
TS,D-06,37,20134,544.16
AH,X-99,2,1089,544.5
NJ,C-06,4,2180,545
CU,F-08,158,86185,545.47
XS,H-09,2,1092,546
IL,C-10,10,5469,546.9
HL,F-04,42,22972,546.95
KT,C-09,4,2189,547.25
LI,C-01,56,30713,548.45
UM,I-03,5,2743,548.6
CC,F-02,137,75173,548.71
WT,J-10,141,77499,549.64
HK,G-09,434,238556,549.67
RS,D-04,501,275540,549.98
WT,2,5,2751,550.2
DA,B-02,18,9906,550.33
SM,D-06,51,28087,550.73
PH,F-02,62,34188,551.42
YH,C-02,63,34797,552.33
SD,99,4,2211,552.75
MO,E-04,104,57507,552.95
RL,G-06,139,76914,553.34
MG,Others,623,345167,554.04
BT,X-98,49,27149,554.06
AP,X-98,252,139623,554.06
JL,L-05,491,272081,554.14
WF,E-08,478,265016,554.43
LH,C-11,235,130368,554.76
DY,E-04,164,90993,554.84
SU,1,1,555,555
PD,3,1,555,555
CJ,F-08,1,555,555
KT,I-03,1,555,555
SS,J-06,1,555,555
DM,6,2,1110,555
DU,C-01,125,69405,555.24
KI,99,2,1111,555.5
DN,2,22,12221,555.5
QD,X-98,42,23338,555.67
YP,C-04,24,13339,555.79
HR,F-05,16,8908,556.75
TD,E-02,220,122526,556.94
LJ,F-05,63,35112,557.33
TH,2,32,17836,557.38
LT,E-06,110,61356,557.78
IL,D-08,1,558,558
TC,E-15,1,558,558
FW,G-05,1,558,558
CK,E-09,131,73192,558.72
YH,A-05,43,24031,558.86
TN,F-08,399,222989,558.87
NY,D-05,849,474495,558.89
TY,D-05,673,376264,559.08
TD,X-98,82,45849,559.13
SU,Others,723,404342,559.26
XH,C-04,80,44753,559.41
NC,G-14,10,5595,559.5
SW,G-03,90,50451,560.57
ML,F-10,351,196808,560.71
DC,X-98,247,138550,560.93
QX,C-03,113,63391,560.98
DS,C-11,1107,621039,561.01
JH,I-06,151,84782,561.47
DM,F-06,33,18566,562.61
FD,B-06,1294,728339,562.86
LW,99,1,563,563
SN,L-07,105,59166,563.49
LW,G-06,47,26485,563.51
TS,F-03,7,3945,563.57
TE,D-02,15,8454,563.6
CA,F4,10,5637,563.7
PT,2,6,3385,564.17
DJ,B-08,530,299083,564.31
SN,X-99,107,60388,564.37
SK,E-03,108,60987,564.69
DA,C-06,1,565,565
SL,J-09,67,37863,565.12
SK,E-04,128,72337,565.13
WF,H-06,86,48703,566.31
YP,F-05,59,33449,566.93
ZS,H-03,2,1134,567
YG,X-98,36,20416,567.11
SK,C-04,72,40843,567.26
TU,X-98,2,1135,567.5
PW,99,2,1136,568
DS,F-04,1613,916191,568
XH,E-04,147,83511,568.1
HD,D-06,205,116518,568.38
CF,C-07,336,191052,568.61
MJ,H-06,3,1707,569
XT,B-03,41,23337,569.2
PU,C-06,9,5127,569.67
LS,G-05,48,27358,569.96
XW,K-05,102,58140,570
NC,I-09,7,3995,570.71
DM,C-03,46,26263,570.93
WT,I-09,133,75941,570.98
LY,C-05,105,59977,571.21
YW,X-98,85,48557,571.26
TA,H-08,8,4572,571.5
JB,C-01,40,22861,571.53
SZ,D-03,126,72066,571.95
SK,D-03,219,125485,572.99
KT,I-04,1,573,573
PC,F-09,18,10314,573
WQ,D-06,636,364940,573.81
ZU,D-04,25,14347,573.88
MS,B-04,61,35008,573.9
XH,B-05,16,9187,574.19
ZS,X-98,47,26996,574.38
MQ,H-02,118,67806,574.63
HL,G-05,205,117828,574.77
DU,B-02,214,123047,574.99
LG,3,1,575,575
PW,K-06,1,575,575
WF,F-06,111,63869,575.4
HL,Others,730,420094,575.47
BK,C-04,107,61584,575.55
PZ,E-05,76,43768,575.89
IL,E-09,1,576,576
DY,F-08,278,160183,576.2
GS,L-04,216,124556,576.65
WZ,I-06,72,41533,576.85
MJ,F-08,8,4616,577
RZ,J-05,42,24236,577.05
NY,C-03,7,4040,577.14
PT,Others,786,453795,577.35
JK,F-01,16,9239,577.44
JK,H-06,70,40421,577.44
YN,C-05,189,109197,577.76
MD,X-98,96,55480,577.92
GS,I-06,419,242220,578.09
FH,4,3,1735,578.33
CX,E-06,136,78666,578.43
HL,I-03,3,1736,578.67
XL,C-05,5,2894,578.8
ML,D-03,54,31259,578.87
TN,C-05,2,1158,579
BT,E-05,2,1158,579
SL,E-04,51,29543,579.27
UM,F-04,3,1738,579.33
KD,X-30,936,542673,579.78
SC,C-03,14,8120,580
YD,99,2,1162,581
DD,B-03,235,136545,581.04
MA,E-08,918,533542,581.2
BK,D-04,198,115079,581.21
DT,F-07,510,296555,581.48
CQ,G-07,163,94788,581.52
SA,G-07,31,18032,581.68
CG,99,2,1164,582
GS,L-03,328,190943,582.14
PL,E-09,97,56478,582.25
TN,G-06,458,266671,582.25
RZ,H-06,537,312800,582.5
FH,D-06,652,379914,582.69
HT,2,24,13988,582.83
LZ,C-05,106,61789,582.92
TB,I-06,239,139339,583.01
QX,E-06,188,109665,583.32
JC,D-02,488,284907,583.83
JP,X-98,28,16353,584.04
SU,G-07,4,2337,584.25
DC,C-09,15,8765,584.33
DM,Others,735,429591,584.48
DN,I-05,164,95866,584.55
RL,F-01,1,585,585
YW,G-09,1,585,585
PG,F-06,2,1170,585
JK,G-06,493,288466,585.12
RZ,J-07,75,43910,585.47
DR,K-04,502,294050,585.76
LF,X-98,69,40418,585.77
DO,C-04,5,2929,585.8
DA,C-03,26,15246,586.38
JB,H-05,143,83852,586.38
KW,E-05,6,3520,586.67
CQ,99,1,587,587
DA,D-03,42,24657,587.07
DO,G-04,370,217309,587.32
HZ,X-99,3,1762,587.33
YW,G-03,51,29962,587.49
HZ,D-03,150,88175,587.83
UG,E-05,1,588,588
TC,E-38,1,588,588
MY,E-05,6,3529,588.17
SK,F-04,57,33533,588.3
NL,G-07,1224,720092,588.31
KT,C-07,3,1765,588.33
AP,C-03,1127,663043,588.33
FH,F-04,134,78898,588.79
JU,C-10,1,589,589
CP,C-33,109,64208,589.06
RS,Others,430,253309,589.09
SW,I-08,1081,636835,589.12
PE,E-02,283,166729,589.15
PH,G-02,16,9428,589.25
YH,F-06,15,8839,589.27
DS,C-09,505,297635,589.38
SK,I-08,2,1179,589.5
XU,D-06,72,42451,589.6
UM,B-03,128,75486,589.73
HI,G-03,199,117384,589.87
SH,C-03,9,5312,590.22
LF,E-03,204,120428,590.33
FH,C-06,86,50804,590.74
ML,L-06,185,109328,590.96
DD,Others,415,245249,590.96
LW,H-03,51,30145,591.08
DO,G-03,304,179690,591.09
BT,H-06,251,148492,591.6
JA,D-03,90,53299,592.21
HG,C-02,541,320449,592.33
LC,E-03,465,275509,592.49
PG,X-98,55,32588,592.51
TL,F-09,31,18372,592.65
MX,B-04,3,1778,592.67
FD,B-03,242,143492,592.94
TT,E-15,4,2375,593.75
JR,G-03,188,111653,593.9
WF,G-06,180,106979,594.33
WG,D-04,919,546327,594.48
KI,F-04,132,78475,594.51
DR,K-03,128,76143,594.87
UC,7,3,1785,595
TC,L-22,3,1785,595
HL,E-04,169,100556,595.01
YK,E-05,598,355891,595.14
DY,F-06,933,555548,595.44
SK,D-04,136,81030,595.81
NS,C-07,101,60195,595.99
AK,J-11,11,6557,596.09
SQ,D-03,120,71559,596.33
NY,X-98,362,215876,596.34
TY,B-01,2,1193,596.5
JU,C-07,190,113337,596.51
AP,C-05,1447,864279,597.29
PF,X-98,25,14937,597.48
KW,H-07,747,446475,597.69
CT,G-04,555,331880,597.98
TP,X-99,1,598,598
DY,X-98,144,86128,598.11
PL,D-04,73,43689,598.48
TA,G-03,7,4191,598.71
HZ,D-08,4,2395,598.75
LS,X-99,163,97620,598.9
FW,I-04,394,236093,599.22
YL,E-08,102,61129,599.3
NA,M-13,30,17980,599.33
LJ,F-04,164,98387,599.92
LT,C-06,312,187183,599.95
CA,C-02,451,270577,599.95
PC,I-05,5,3000,600
DN,G-06,460,276002,600
PM,C-09,12,7201,600.08
NQ,F-06,22,13208,600.36
CX,Others,818,491369,600.7
MD,D-03,452,271535,600.74
SW,C-05,22,13221,600.95
MQ,G-02,194,116595,601.01
GS,G-04,514,309103,601.37
NZ,D-11,172,103491,601.69
FS,F-08,108,64985,601.71
MJ,E-03,731,439953,601.85
TA,H-07,22,13242,601.91
FH,C-08,192,115574,601.95
MA,E-05,518,312016,602.35
MO,G-05,39,23492,602.36
PW,E-04,758,456654,602.45
SL,F-07,439,264544,602.61
ST,C-05,250,150731,602.92
TL,H-11,74,44625,603.04
CT,H-04,895,540188,603.56
WF,G-07,126,76074,603.76
TT,X-99,18,10870,603.89
AK,K-05,442,266980,604.03
DN,I-06,324,195787,604.28
AP,D-06,19,11483,604.37
SW,I-03,58,35058,604.45
GM,F-06,812,490873,604.52
HU,E-04,140,84642,604.59
JN,E-05,75,45372,604.96
TO,D-06,76,45981,605.01
UM,C-05,85,51461,605.42
TZ,99,2,1211,605.5
YN,E-09,330,199823,605.52
JW,E-03,463,280471,605.77
LI,Z-04,90,54551,606.12
RL,Others,550,333372,606.13
UH,A-03,11,6669,606.27
JK,E-07,500,303151,606.3
GS,F-06,5,3033,606.6
HM,D-04,74,44915,606.96
TN,G-09,380,230732,607.19
CQ,E-05,85,51612,607.2
TL,E-08,78,47370,607.31
NS,99,2,1215,607.5
KD,C-05,452,274645,607.62
DM,J-02,19,11549,607.84
SP,I-08,174,105779,607.93
DN,C-04,184,111902,608.16
ZK,F-04,356,216551,608.29
WZ,K-06,227,138131,608.51
JN,F-02,40,24342,608.55
DM,I-02,170,103475,608.68
DD,D-03,1193,726297,608.8
PC,I-03,6,3653,608.83
JK,F-08,571,347688,608.91
CK,E-11,1,609,609
PC,99,3,1827,609
ZU,E-03,193,117592,609.28
SN,I-09,419,255343,609.41
JA,G-05,570,347502,609.65
FA,E-05,162,98820,610
RS,G-02,263,160438,610.03
DC,D-02,21,12823,610.62
MS,J-07,143,87335,610.73
TT,D-10,105,64150,610.95
YN,X-98,165,100826,611.07
TD,B-01,390,238385,611.24
YD,F-09,304,185979,611.77
XT,X-98,25,15305,612.2
ZU,X-98,11,6736,612.36
PT,D-09,241,147581,612.37
GS,I-04,655,401353,612.75
TL,C-05,214,131159,612.89
NJ,G-06,522,319965,612.96
MT,F-03,425,260515,612.98
JL,L-07,516,316317,613.02
PJ,F-10,189,115877,613.11
BD,F-03,57,34951,613.18
JB,I-04,350,214626,613.22
QD,C-04,46,28209,613.24
TH,E-61,58,35572,613.31
LZ,E-05,54,33122,613.37
WF,F-07,121,74226,613.44
HU,E-05,165,101217,613.44
HK,F-06,269,165020,613.46
HZ,C-05,481,295188,613.7
YH,F-05,352,216058,613.8
JL,J-05,18,11049,613.83
TD,C-02,358,219840,614.08
MZ,D-05,174,106952,614.67
BD,H-06,50,30740,614.8
UH,E-07,347,213353,614.85
YK,G-09,38,23380,615.26
IL,C-08,127,78151,615.36
DO,I-03,287,176608,615.36
AE,G-05,232,142765,615.37
LH,B-09,198,121846,615.38
JA,E-03,608,374206,615.47
QH,K-03,843,518958,615.61
JP,B-04,416,256098,615.62
QH,K-04,556,342288,615.63
GS,I-03,61,37559,615.72
KT,C-02,383,235823,615.73
NN,F-03,212,130544,615.77
TP,F-05,121,74509,615.78
KS,G-09,283,174282,615.84
HL,H-03,367,226012,615.84
YS,C-05,106,65297,616.01
PT,E-04,212,130624,616.15
JI,I-04,173,106600,616.18
WT,D-05,43,26503,616.35
WZ,J-06,177,109096,616.36
JK,D-07,395,243482,616.41
TY,D-6,2,1233,616.5
NZ,D-08,670,413304,616.87
SC,E-05,52,32083,616.98
JB,D-03,3,1851,617
PK,F-08,252,155502,617.07
RZ,I-05,97,59857,617.08
LZ,F-04,165,101831,617.16
CR,E-09,1117,689440,617.22
SN,K-09,495,305559,617.29
PT,B-06,480,296333,617.36
YH,F-08,2,1235,617.5
JW,E-04,114,70422,617.74
TE,D-05,17,10502,617.76
TN,G-08,471,291004,617.84
BT,I-06,277,171153,617.88
IL,C-03,1,618,618
TF,D-06,1,618,618
NS,J-08,1,618,618
SL,J-10,1,618,618
HZ,C-04,86,53162,618.16
SQ,X-99,92,56877,618.23
CG,F-06,4,2473,618.25
MS,E-08,14,8659,618.5
DA,2,5,3094,618.8
SK,H-04,165,102108,618.84
HL,D-05,1263,781675,618.9
NY,F-05,190,117607,618.98
QX,D-04,152,94111,619.15
KG,C-06,855,529564,619.37
JA,C-05,212,131319,619.43
MH,E-05,494,306009,619.45
GS,J-06,577,357429,619.46
DA,H-01,236,146202,619.5
MD,F-04,428,265351,619.98
CJ,C-06,3,1860,620
ML,E-08,338,209602,620.12
DC,X-99,50,31009,620.18
CT,I-03,1131,701820,620.53
YH,B-05,210,130323,620.59
CK,E-08,313,194266,620.66
PC,E-06,9,5586,620.67
JW,G-04,456,283168,620.98
KW,3,11,6831,621
JN,Others,1274,791209,621.04
LZ,E-06,180,111812,621.18
JW,I-04,590,366531,621.24
NJ,H-04,395,245458,621.41
TA,E-04,2,1243,621.5
DZ,D-03,319,198267,621.53
ML,J-07,75,46619,621.59
KI,E-04,37,23000,621.62
XW,J-02,18,11192,621.78
YJ,E-03,313,194700,622.04
ZS,F-04,132,82113,622.07
PC,D-03,488,303575,622.08
WZ,X-98,363,225863,622.21
TS,C-10,239,148720,622.26
SL,F-06,75,46671,622.28
PC,D-05,830,516593,622.4
LZ,D-03,249,154989,622.45
XT,D-04,102,63500,622.55
WJ,G-05,19,11832,622.74
CG,E-02,726,452201,622.87
RJ,F-07,222,138301,622.98
TT,D-06,57,35519,623.14
WT,E-07,119,74155,623.15
TD,D-05,536,334007,623.15
AN,D-05,262,163286,623.23
RZ,H-05,492,306679,623.33
FG,E-05,509,317283,623.35
XS,C-08,97,60484,623.55
YH,E-03,484,301797,623.55
HL,D-03,743,463457,623.76
KC,I-09,227,141628,623.91
KT,C-13,1,624,624
SP,G-07,727,453712,624.09
CC,E-03,510,318427,624.37
CL,F-06,192,119880,624.38
MS,F-06,290,181119,624.55
LT,E-04,180,112424,624.58
TL,E-07,100,62471,624.71
MJ,L-09,10,6249,624.9
SN,J-9,311,194351,624.92
NS,C-10,550,343725,624.95
TA,C-06,22,13753,625.14
TT,F-07,34,21257,625.21
DS,D-01,17,10629,625.24
JL,K-08,2,1251,625.5
TD,D-03,163,101986,625.68
NS,D-07,296,185200,625.68
ZY,F-08,873,546345,625.82
MA,E-07,709,443924,626.13
NC,I-08,27,16911,626.33
LW,E-06,396,248048,626.38
